date,value
2026-04-16,141
2026-04-17,141
2026-04-18,141
2026-04-19,141
2026-04-20,145
2026-04-21,145
2026-04-22,145
2026-04-23,144
2026-04-24,144
2026-04-25,144
2026-04-26,144
2026-04-27,144
2026-04-28,143
2026-04-29,146
2026-04-30,148
2026-05-01,147
2026-05-02,147
2026-05-03,147
2026-05-04,147
2026-05-05,156
2026-05-06,157
2026-05-07,159
2026-05-08,157
2026-05-09,157
2026-05-10,157
2026-05-11,157
2026-05-12,157
2026-05-13,155
2026-05-14,152
2026-05-15,151
2026-05-16,151
2026-05-17,151
2026-05-18,151
2026-05-19,151
2026-05-20,151
2026-05-21,150
2026-05-22,145
2026-05-23,145
2026-05-24,145
2026-05-25,145
2026-05-26,150
2026-05-27,150
2026-05-28,148
2026-05-29,150
2026-05-30,150
2026-05-31,150
2026-06-01,150
2026-06-02,153
2026-06-03,149
2026-06-04,150
2026-06-05,152
2026-06-06,152
2026-06-07,152
2026-06-08,152
2026-06-09,152
2026-06-10,153
2026-06-11,155
2026-06-12,155
2026-06-13,155
2026-06-14,155
2026-06-15,155
2026-06-16,153
2026-06-17,154
2026-06-18,157
2026-06-19,157
2026-06-20,157
2026-06-21,157
2026-06-22,154
2026-06-23,155
2026-06-24,158
2026-06-25,159
2026-06-26,156
2026-06-27,156
2026-06-28,156
2026-06-29,155
2026-06-30,154
2026-07-01,155
2026-07-02,154
2026-07-03,154
2026-07-04,154
2026-07-05,154
2026-07-06,154
2026-07-07,153
2026-07-08,155
2026-07-09,154
2026-07-10,154
2026-07-11,154
2026-07-12,154
2026-07-13,154
2026-07-14,154
